mode,comparison,left_stage,right_stage,left_edit_path,right_edit_path,edit_ssim,edit_psnr,edit_mse,edit_l2,arcface_edit_cosine_similarity
baseline_control,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/vae_reconstruction_edit.png,0.9090390205383301,28.20156194515901,0.0015130169922485948,0.03889751910146192,0.8514978885650635
baseline_control,neutral_geometry_resampling_on_original,clean_edit,neutral_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/neutral_geometry_on_original_edit.png,0.8571996092796326,25.97067855554863,0.002528902841731906,0.05028819783738433,0.8822050094604492
baseline_control,neutral_geometry_resampling_after_reconstruction,vae_reconstruction,neutral_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/neutral_geometry_on_reconstruction_edit.png,0.826590359210968,23.815863856433126,0.004153494257479906,0.06444760862499016,0.9153863191604614
combined,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/vae_reconstruction_edit.png,0.9090390205383301,28.20156194515901,0.0015130169922485948,0.03889751910146192,0.8514978885650635
combined,delta_increment_after_reconstruction,vae_reconstruction,learned_delta_only,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_delta_only_edit.png,0.8549404740333557,26.27219761348785,0.0023592840880155563,0.04857246223958135,-0.05433269962668419
combined,geometry_on_original_effect,clean_edit,learned_geometry_on_original,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_geometry_on_original_edit.png,0.9170935750007629,29.61575663935197,0.0010925072710961103,0.03305309775340445,0.8867493867874146
combined,geometry_on_reconstruction_effect,vae_reconstruction,learned_geometry_on_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_geometry_on_reconstruction_edit.png,0.9398934841156006,30.43990006084738,0.000903670268598944,0.030061108905011204,0.9634310603141785
combined,geometry_increment_after_delta,learned_delta_only,learned_combined,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_combined_edit.png,0.9407232403755188,30.020985691871264,0.0009951795218512416,0.03154646607547732,0.9420909881591797
combined,order_effect,learned_combined,geometry_then_vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/learned_combined_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/combined/geometry_then_vae_reconstruction_edit.png,0.8244313597679138,24.313745015082517,0.0037036121357232332,0.06085730963264177,-0.1196492612361908
delta_only,reconstruction_effect,clean_edit,vae_reconstruction,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/stage_attribution/image4_red_scarf_polar_25/delta_only/vae_reconstruction_edit.png,0.9090390205383301,28.20156194515901,0.0015130169922485948,0.03889751910146192,0.8514978885650635
